ImageName,Latitude,Longitude,Height,angle0,angle1,angle2,angle3
2018.01.06_I0-0_DC_NUCF_0821.tiff,54.7825450000,11.8584433333,75.0000000000,0.12,-0.10,-0.11,-256.56
2018.01.06_I0-0_DC_NUCF_0922.tiff,54.7825283333,11.8583700000,98.1000000000,0.18,0.17,0.08,-267.96
2018.01.06_I0-0_DC_NUCF_0930.tiff,54.7825183333,11.8582933333,99.5000000000,-0.11,0.14,0.10,-260.05
2018.01.06_I0-0_DC_NUCF_0944.tiff,54.7825083333,11.8582083333,99.2000000000,0.20,-0.06,-0.10,-257.66
2018.01.06_I0-0_DC_NUCF_0951.tiff,54.7824916667,11.8581216667,98.7000000000,0.02,0.12,-0.20,-251.53
2018.01.06_I0-0_DC_NUCF_0963.tiff,54.7824716667,11.8580466667,99.2000000000,-0.04,0.13,0.10,-244.88
2018.01.06_I0-0_DC_NUCF_0974.tiff,54.7824483333,11.8579783333,99.4000000000,-0.06,0.15,-0.07,-239.93
2018.01.06_I0-0_DC_NUCF_0979.tiff,54.7824233333,11.8579100000,99.0000000000,-0.06,-0.15,0.08,-240.11
2018.01.06_I0-0_DC_NUCF_0990.tiff,54.7823983333,11.8578450000,98.8000000000,-0.03,0.04,0.09,-238.06
2018.01.06_I0-0_DC_NUCF_1000.tiff,54.7823716667,11.8577783333,98.7000000000,0.14,0.12,-0.04,-236.27
2018.01.06_I0-0_DC_NUCF_1004.tiff,54.7823450000,11.8577100000,98.7000000000,-0.12,-0.10,0.03,-235.88
2018.01.06_I0-0_DC_NUCF_1014.tiff,54.7823150000,11.8576433333,98.8000000000,-0.17,-0.02,-0.05,-236.07
2018.01.06_I0-0_DC_NUCF_1024.tiff,54.7822883333,11.8575766667,99.0000000000,0.03,-0.13,0.18,-235.72
2018.01.06_I0-0_DC_NUCF_1027.tiff,54.7822600000,11.8575100000,99.0000000000,0.02,-0.19,0.14,-236.72
2018.01.06_I0-0_DC_NUCF_1036.tiff,54.7822333333,11.8574450000,98.9000000000,0.04,0.01,0.06,-234.93
2018.01.06_I0-0_DC_NUCF_1045.tiff,54.7822050000,11.8573816667,98.9000000000,0.20,0.10,-0.19,-235.91
2018.01.06_I0-0_DC_NUCF_1051.tiff,54.7821633333,11.8572816667,99.0000000000,0.18,-0.03,0.05,-234.13
2018.01.06_I0-0_DC_NUCF_1060.tiff,54.7821350000,11.8572133333,99.1000000000,-0.20,0.14,-0.02,-234.99
2018.01.06_I0-0_DC_NUCF_1069.tiff,54.7821050000,11.8571433333,99.0000000000,0.02,-0.10,-0.01,-235.25
2018.01.06_I0-0_DC_NUCF_1076.tiff,54.7820633333,11.8570416667,99.0000000000,0.13,0.08,-0.18,-235.03
2018.01.06_I0-0_DC_NUCF_1084.tiff,54.7820350000,11.8569750000,99.1000000000,-0.10,-0.10,-0.07,-234.43
2018.01.06_I0-0_DC_NUCF_1093.tiff,54.7820033333,11.8569033333,99.1000000000,0.10,-0.15,-0.04,-235.62
2018.01.06_I0-0_DC_NUCF_1101.tiff,54.7819500000,11.8567783333,98.7000000000,0.09,-0.13,-0.06,-235.73
2018.01.06_I0-0_DC_NUCF_1109.tiff,54.7819216667,11.8567150000,98.5000000000,0.13,0.02,-0.12,-234.81
2018.01.06_I0-0_DC_NUCF_1116.tiff,54.7818950000,11.8566483333,98.2000000000,0.20,-0.06,-0.10,-235.56
2018.01.06_I0-0_DC_NUCF_1124.tiff,54.7818683333,11.8565816667,98.0000000000,0.04,0.14,-0.17,-235.01
2018.01.06_I0-0_DC_NUCF_1126.tiff,54.7818316667,11.8564950000,98.0000000000,0.11,0.01,0.02,-234.45
2018.01.06_I0-0_DC_NUCF_1134.tiff,54.7818033333,11.8564283333,97.9000000000,0.05,-0.13,-0.04,-234.87
2018.01.06_I0-0_DC_NUCF_1142.tiff,54.7817716667,11.8563533333,98.0000000000,-0.05,-0.04,0.02,-234.94
2018.01.06_I0-0_DC_NUCF_1150.tiff,54.7817400000,11.8562783333,97.9000000000,0.05,0.15,0.12,-235.28
2018.01.06_I0-0_DC_NUCF_1151.tiff,54.7817100000,11.8562066667,97.8000000000,-0.06,-0.15,0.08,-235.65
2018.01.06_I0-0_DC_NUCF_1158.tiff,54.7816816667,11.8561366667,97.7000000000,-0.12,-0.03,-0.06,-235.41
2018.01.06_I0-0_DC_NUCF_1165.tiff,54.7816533333,11.8560716667,97.6000000000,0.12,-0.10,-0.11,-234.92
2018.01.06_I0-0_DC_NUCF_1172.tiff,54.7816283333,11.8560050000,97.5000000000,0.14,0.12,-0.04,-235.45
2018.01.06_I0-0_DC_NUCF_1176.tiff,54.7815850000,11.8559033333,97.4000000000,-0.12,-0.10,0.03,-234.97
2018.01.06_I0-0_DC_NUCF_1183.tiff,54.7815583333,11.8558366667,97.4000000000,0.06,-0.05,-0.19,-235.71
2018.01.06_I0-0_DC_NUCF_1190.tiff,54.7815333333,11.8557716667,97.4000000000,0.02,-0.01,0.10,-234.46
